plano,data,pagamento,data_pagamento,saida,saldo,carteira
unimed,2024-05-12,2821,2024-05-12,7572,-4751,99297
unimed,2025-03-29,1262,2025-03-29,5853,-4591,27469
bradesco,2024-01-13,4411,2024-01-13,7840,-3429,80952
bradesco,2024-03-25,3921,2024-03-25,8248,-4327,41253
amil,2024-07-14,5068,2024-07-14,1179,3889,19733
hapvida,2024-02-20,2183,2024-02-20,7998,-5815,65163
bradesco,2024-02-14,6851,2024-02-14,9392,-2541,13211
bradesco,2024-04-11,2005,2024-04-11,3522,-1517,34798
hapvida,2025-01-09,9804,2025-01-09,6021,3783,425
amil,2024-10-14,4727,2024-10-14,2038,2689,82062
bradesco,2025-03-30,2455,2025-03-30,9288,-6833,94291
unimed,2024-12-10,4798,2024-12-10,9843,-5045,17009
bradesco,2024-01-10,1494,2024-01-10,7598,-6104,11096
amil,2024-07-05,7613,2024-07-05,2383,5230,70229
amil,2025-04-19,750,2025-04-19,7313,-6563,96144
amil,2024-07-16,3266,2024-07-16,6980,-3714,15737
hapvida,2024-10-17,7653,2024-10-17,8027,-374,34575
hapvida,2024-04-04,8923,2024-04-04,3034,5889,60624
hapvida,2024-11-27,2476,2024-11-27,443,2033,83787
bradesco,2024-07-08,4513,2024-07-08,5877,-1364,50345
amil,2024-03-04,757,2024-03-04,8596,-7839,67917
unimed,2024-11-29,4100,2024-11-29,4842,-742,43756
unimed,2024-04-15,5907,2024-04-15,4268,1639,61226
bradesco,2024-09-27,4172,2024-09-27,7056,-2884,21148
amil,2025-03-26,3953,2025-03-26,976,2977,85658
hapvida,2024-05-29,974,2024-05-29,647,327,52843
hapvida,2025-03-25,1505,2025-03-25,756,749,14235
amil,2024-01-25,6646,2024-01-25,2041,4605,93070
hapvida,2024-11-08,1105,2024-11-08,9084,-7979,14248
amil,2024-05-14,4279,2024-05-14,6270,-1991,38850
hapvida,2024-12-15,2897,2024-12-15,9225,-6328,18338
amil,2024-05-12,2717,2024-05-12,8832,-6115,49275
amil,2024-07-16,5230,2024-07-16,8979,-3749,4053
amil,2024-11-22,513,2024-11-22,432,81,73267
bradesco,2024-09-23,9453,2024-09-23,9725,-272,60009
hapvida,2025-03-07,439,2025-03-07,5106,-4667,15466
bradesco,2025-04-21,9428,2025-04-21,9207,221,25494
amil,2024-07-22,933,2024-07-22,2555,-1622,90607
hapvida,2024-01-14,4770,2024-01-14,8709,-3939,30689
unimed,2024-05-01,1672,2024-05-01,5571,-3899,91713
unimed,2024-01-19,3749,2024-01-19,8814,-5065,25172
hapvida,2024-07-10,3443,2024-07-10,8244,-4801,19758
unimed,2024-08-15,4262,2024-08-15,6526,-2264,48853
amil,2024-01-21,8775,2024-01-21,8389,386,85141
hapvida,2024-03-04,6041,2024-03-04,1867,4174,17805
hapvida,2024-10-28,1628,2024-10-28,3512,-1884,44267
amil,2024-02-12,37,2024-02-12,2,35,46793
hapvida,2025-01-27,6741,2025-01-27,3881,2860,97005
amil,2024-12-19,3881,2024-12-19,2914,967,54053
bradesco,2025-03-30,5600,2025-03-30,7925,-2325,56333
amil,2024-12-24,6712,2024-12-24,7247,-535,98064
amil,2025-04-29,3209,2025-04-29,3253,-44,67949
bradesco,2025-02-21,4677,2025-02-21,3487,1190,49558
amil,2025-02-06,879,2025-02-06,5663,-4784,69654
bradesco,2024-02-25,7737,2024-02-25,2406,5331,60694
amil,2025-02-11,1374,2025-02-11,6079,-4705,2922
hapvida,2025-03-26,3832,2025-03-26,3050,782,54787
bradesco,2024-02-23,6528,2024-02-23,1369,5159,30312
unimed,2024-06-17,3659,2024-06-17,8343,-4684,37558
bradesco,2024-04-05,4362,2024-04-05,5711,-1349,62831
amil,2024-05-28,981,2024-05-28,2226,-1245,22096
bradesco,2024-11-27,8232,2024-11-27,5804,2428,26101
bradesco,2024-11-12,1317,2024-11-12,420,897,31743
amil,2024-03-25,2054,2024-03-25,3405,-1351,26872
bradesco,2024-05-05,1767,2024-05-05,8831,-7064,48946
unimed,2024-08-03,3228,2024-08-03,3403,-175,83140
hapvida,2024-10-07,2890,2024-10-07,9946,-7056,77035
amil,2024-08-03,8758,2024-08-03,602,8156,29489
bradesco,2024-10-11,9461,2024-10-11,7347,2114,50553
unimed,2025-02-09,868,2025-02-09,2452,-1584,94812
hapvida,2024-08-22,8266,2024-08-22,7236,1030,74322
bradesco,2024-06-22,6725,2024-06-22,9699,-2974,67136
unimed,2024-03-09,4513,2024-03-09,2092,2421,45356
bradesco,2024-02-19,5788,2024-02-19,3148,2640,39342
amil,2025-04-15,2369,2025-04-15,7037,-4668,37280
hapvida,2025-04-05,6124,2025-04-05,1759,4365,38291
amil,2024-02-18,253,2024-02-18,2039,-1786,91847
amil,2024-04-22,4444,2024-04-22,5138,-694,14789
bradesco,2025-03-07,8597,2025-03-07,2271,6326,94134
bradesco,2024-09-27,2092,2024-09-27,3845,-1753,81553
hapvida,2025-01-10,732,2025-01-10,8646,-7914,90143
amil,2024-07-09,1276,2024-07-09,7955,-6679,18762
unimed,2024-01-18,1478,2024-01-18,2652,-1174,61680
unimed,2024-01-11,4238,2024-01-11,674,3564,38929
hapvida,2025-01-04,5388,2025-01-04,691,4697,31886
unimed,2024-12-03,6385,2024-12-03,6112,273,81512
bradesco,2024-12-23,3547,2024-12-23,3061,486,31597
hapvida,2024-05-14,1190,2024-05-14,4685,-3495,90580
unimed,2025-01-21,5576,2025-01-21,2389,3187,97522
bradesco,2024-08-29,1962,2024-08-29,1644,318,28624
hapvida,2024-01-10,3632,2024-01-10,6700,-3068,56389
unimed,2024-06-30,9474,2024-06-30,7593,1881,20251
hapvida,2024-11-04,7514,2024-11-04,5072,2442,83910
hapvida,2025-04-01,7432,2025-04-01,9122,-1690,87974
unimed,2024-07-30,9240,2024-07-30,7080,2160,2818
unimed,2024-09-13,6589,2024-09-13,1706,4883,98886
amil,2025-02-14,3099,2025-02-14,6182,-3083,88846
amil,2024-09-09,4787,2024-09-09,4650,137,93293
bradesco,2024-08-07,5830,2024-08-07,8637,-2807,86055
hapvida,2024-06-17,481,2024-06-17,6640,-6159,45105
hapvida,2024-02-22,7453,2024-02-22,5670,1783,58406
amil,2024-07-01,61,2024-07-01,6774,-6713,42500
unimed,2024-10-29,9761,2024-10-29,2039,7722,38166
hapvida,2025-01-08,1219,2025-01-08,6309,-5090,94739
amil,2024-01-28,8828,2024-01-28,5303,3525,53290
unimed,2025-04-03,8756,2025-04-03,6989,1767,10055
hapvida,2024-06-14,7908,2024-06-14,8677,-769,41130
unimed,2024-04-10,5789,2024-04-10,1464,4325,7530
hapvida,2025-01-30,5241,2025-01-30,7541,-2300,52216
amil,2024-03-15,3938,2024-03-15,7856,-3918,33806
bradesco,2024-09-20,384,2024-09-20,9752,-9368,11079
bradesco,2024-05-08,8539,2024-05-08,4908,3631,55507
amil,2024-07-31,1632,2024-07-31,2272,-640,39743
amil,2024-06-29,2567,2024-06-29,3099,-532,51707
unimed,2024-09-15,2893,2024-09-15,5233,-2340,42829
bradesco,2025-03-03,5152,2025-03-03,5645,-493,76474
hapvida,2024-11-29,4681,2024-11-29,2856,1825,12699
bradesco,2024-08-30,2543,2024-08-30,9999,-7456,39145
bradesco,2025-01-20,8741,2025-01-20,8081,660,76442
amil,2024-12-09,9347,2024-12-09,276,9071,2567
hapvida,2024-04-02,738,2024-04-02,3538,-2800,82871
unimed,2024-12-27,3969,2024-12-27,5785,-1816,55786
amil,2024-01-17,6056,2024-01-17,7903,-1847,88322
bradesco,2024-02-24,3082,2024-02-24,2614,468,26738
bradesco,2024-01-21,4450,2024-01-21,1379,3071,23830
amil,2024-01-04,3551,2024-01-04,5068,-1517,88014
hapvida,2024-09-29,2670,2024-09-29,6361,-3691,87376
amil,2025-04-15,7532,2025-04-15,9192,-1660,16761
amil,2024-03-22,2077,2024-03-22,962,1115,38450
unimed,2025-03-29,7408,2025-03-29,9649,-2241,51902
hapvida,2025-01-10,4162,2025-01-10,667,3495,26143
amil,2024-10-20,8907,2024-10-20,6598,2309,61842
bradesco,2024-02-24,6048,2024-02-24,9697,-3649,74966
unimed,2024-06-23,8433,2024-06-23,8847,-414,37610
amil,2024-08-12,7155,2024-08-12,6814,341,51600
unimed,2025-02-26,7163,2025-02-26,9999,-2836,37212
amil,2024-03-24,3129,2024-03-24,3541,-412,68792
hapvida,2024-03-16,1832,2024-03-16,5284,-3452,32600
hapvida,2024-01-10,2895,2024-01-10,1277,1618,32049
bradesco,2024-11-09,7805,2024-11-09,9873,-2068,33927
hapvida,2025-04-24,2717,2025-04-24,5111,-2394,20326
amil,2024-12-22,1929,2024-12-22,8500,-6571,38265
bradesco,2025-04-04,7232,2025-04-04,5472,1760,27611
bradesco,2025-03-13,3765,2025-03-13,1498,2267,64232
bradesco,2024-05-09,3621,2024-05-09,4499,-878,94466
hapvida,2024-07-03,3093,2024-07-03,6451,-3358,7955
bradesco,2025-02-04,8332,2025-02-04,9928,-1596,96500
unimed,2024-08-18,7789,2024-08-18,3739,4050,84901
hapvida,2024-11-03,984,2024-11-03,750,234,45608
unimed,2025-02-28,1428,2025-02-28,5557,-4129,4584
amil,2024-01-10,5256,2024-01-10,4983,273,80505
unimed,2024-10-06,8747,2024-10-06,6178,2569,8623
hapvida,2024-02-20,739,2024-02-20,8518,-7779,85877
unimed,2024-05-15,6650,2024-05-15,6092,558,35569
bradesco,2025-01-07,2903,2025-01-07,2424,479,68367
bradesco,2024-12-01,8392,2024-12-01,5262,3130,16833
hapvida,2024-03-08,7886,2024-03-08,2951,4935,86200
unimed,2025-04-20,7191,2025-04-20,7003,188,83461
unimed,2024-01-25,205,2024-01-25,3239,-3034,32402
amil,2024-03-03,3139,2024-03-03,7228,-4089,50318
unimed,2024-11-17,1242,2024-11-17,5100,-3858,26999
hapvida,2024-03-10,5931,2024-03-10,131,5800,98193
hapvida,2024-03-23,1586,2024-03-23,1277,309,29967
hapvida,2024-08-11,24,2024-08-11,271,-247,28308
amil,2025-01-16,7124,2025-01-16,3496,3628,67834
unimed,2024-03-30,6448,2024-03-30,3038,3410,45005
amil,2024-09-09,9122,2024-09-09,8355,767,26448
bradesco,2025-02-17,8662,2025-02-17,2273,6389,45264
bradesco,2024-06-29,6932,2024-06-29,1778,5154,18742
amil,2024-07-27,7262,2024-07-27,5637,1625,37153
bradesco,2025-03-30,536,2025-03-30,3025,-2489,51047
bradesco,2024-09-30,9593,2024-09-30,3949,5644,15880
bradesco,2024-02-28,9598,2024-02-28,7690,1908,33798
amil,2024-08-04,7948,2024-08-04,4123,3825,9607
amil,2024-07-15,1362,2024-07-15,6066,-4704,64655
bradesco,2024-04-13,4595,2024-04-13,2916,1679,19326
amil,2024-01-27,2289,2024-01-27,8959,-6670,33992
unimed,2024-09-07,622,2024-09-07,4480,-3858,32112
hapvida,2024-09-26,8952,2024-09-26,7881,1071,50309
unimed,2024-04-19,2261,2024-04-19,5886,-3625,29396
unimed,2025-02-21,8901,2025-02-21,5192,3709,84509
hapvida,2024-10-19,6560,2024-10-19,9970,-3410,31317
amil,2024-09-17,2525,2024-09-17,2406,119,95514
bradesco,2024-08-20,9447,2024-08-20,3589,5858,4626
unimed,2025-03-13,3362,2025-03-13,7640,-4278,36454
amil,2024-04-13,964,2024-04-13,3359,-2395,47084
bradesco,2025-03-20,9156,2025-03-20,7769,1387,88056
amil,2024-04-27,343,2024-04-27,5988,-5645,77599
hapvida,2024-12-01,8282,2024-12-01,6607,1675,25216
unimed,2025-04-13,4250,2025-04-13,3271,979,25083
amil,2024-03-14,403,2024-03-14,3290,-2887,82824
amil,2024-02-14,9553,2024-02-14,4960,4593,83896
bradesco,2024-02-23,4221,2024-02-23,6235,-2014,98391
hapvida,2024-10-07,3485,2024-10-07,8860,-5375,87183
amil,2024-08-06,1349,2024-08-06,8665,-7316,942
amil,2024-12-26,1155,2024-12-26,7801,-6646,37261
bradesco,2024-09-08,9243,2024-09-08,1190,8053,71785
unimed,2024-03-04,5837,2024-03-04,6397,-560,25226
hapvida,2024-12-17,2710,2024-12-17,9429,-6719,82734
amil,2024-06-30,1780,2024-06-30,2643,-863,87078
hapvida,2025-01-18,6081,2025-01-18,8955,-2874,35746
bradesco,2024-03-23,2495,2024-03-23,6562,-4067,20841
unimed,2024-05-02,5995,2024-05-02,2488,3507,97177
amil,2024-01-03,2536,2024-01-03,3276,-740,98395
bradesco,2025-04-20,3044,2025-04-20,139,2905,95565
amil,2024-01-12,3258,2024-01-12,6477,-3219,68201
hapvida,2024-06-11,7246,2024-06-11,7421,-175,52940
amil,2024-02-28,6827,2024-02-28,5935,892,40006
hapvida,2024-06-07,340,2024-06-07,5378,-5038,51681
unimed,2024-12-23,4155,2024-12-23,4027,128,72002
unimed,2025-04-19,3579,2025-04-19,3930,-351,41595
amil,2024-08-06,9772,2024-08-06,1503,8269,39272
hapvida,2025-03-02,1978,2025-03-02,1309,669,73833
unimed,2025-03-02,816,2025-03-02,8385,-7569,82999
amil,2024-02-28,1344,2024-02-28,9567,-8223,89069
hapvida,2024-12-20,482,2024-12-20,1013,-531,87994
hapvida,2025-03-08,3852,2025-03-08,466,3386,22049
amil,2025-01-14,1580,2025-01-14,8776,-7196,63162
hapvida,2024-02-20,8927,2024-02-20,1722,7205,20541
bradesco,2024-11-24,1316,2024-11-24,3054,-1738,11714
bradesco,2024-11-29,4718,2024-11-29,8959,-4241,20027
amil,2024-01-07,3230,2024-01-07,8075,-4845,46854
unimed,2024-05-24,2368,2024-05-24,1733,635,87584
bradesco,2024-09-05,5607,2024-09-05,515,5092,58775
amil,2024-10-20,136,2024-10-20,5051,-4915,59491
hapvida,2024-09-05,7267,2024-09-05,4721,2546,10547
hapvida,2024-06-18,780,2024-06-18,2235,-1455,18496
bradesco,2024-08-05,4797,2024-08-05,6128,-1331,39562
hapvida,2024-03-29,724,2024-03-29,6511,-5787,51554
amil,2024-10-26,4715,2024-10-26,8851,-4136,81854
bradesco,2024-03-17,1509,2024-03-17,7095,-5586,96840
amil,2024-07-27,8373,2024-07-27,2343,6030,12606
unimed,2024-12-03,452,2024-12-03,1916,-1464,23554
amil,2024-07-03,4581,2024-07-03,7832,-3251,45381
unimed,2024-07-25,1794,2024-07-25,5823,-4029,76212
unimed,2025-04-14,504,2025-04-14,4927,-4423,19836
unimed,2024-08-07,390,2024-08-07,4762,-4372,37593
hapvida,2025-02-08,1682,2025-02-08,9077,-7395,79497
unimed,2024-11-10,4880,2024-11-10,5162,-282,90753
amil,2024-10-31,3687,2024-10-31,3012,675,19383
unimed,2024-02-06,5455,2024-02-06,8577,-3122,28548
unimed,2025-02-10,8227,2025-02-10,9968,-1741,78478
hapvida,2024-01-17,3653,2024-01-17,145,3508,91918
unimed,2024-06-18,4121,2024-06-18,4276,-155,77457
amil,2024-06-16,6514,2024-06-16,2579,3935,74815
unimed,2024-03-06,348,2024-03-06,7821,-7473,28553
unimed,2024-04-25,807,2024-04-25,3168,-2361,68768
bradesco,2024-11-23,1082,2024-11-23,2128,-1046,8455
hapvida,2024-07-20,8988,2024-07-20,4699,4289,41514
amil,2024-05-24,3055,2024-05-24,9179,-6124,97572
hapvida,2025-02-18,7288,2025-02-18,2705,4583,45256
unimed,2024-01-04,3183,2024-01-04,5920,-2737,78398
hapvida,2024-01-24,535,2024-01-24,6432,-5897,831
amil,2025-03-12,7564,2025-03-12,4916,2648,97429
unimed,2025-01-14,9291,2025-01-14,1794,7497,30475
bradesco,2024-07-26,8631,2024-07-26,5538,3093,82611
bradesco,2025-02-24,7527,2025-02-24,4156,3371,64875
unimed,2024-09-29,5439,2024-09-29,6686,-1247,30686
hapvida,2025-04-10,457,2025-04-10,2394,-1937,42264
hapvida,2024-06-10,8378,2024-06-10,6410,1968,65909
amil,2024-03-23,6792,2024-03-23,4010,2782,90848
hapvida,2024-04-24,9458,2024-04-24,4155,5303,46253
bradesco,2024-03-14,3811,2024-03-14,7728,-3917,38426
bradesco,2024-03-28,3929,2024-03-28,8425,-4496,99349
bradesco,2025-04-03,9854,2025-04-03,3378,6476,26168
hapvida,2024-10-10,9331,2024-10-10,1875,7456,73900
hapvida,2024-07-04,6498,2024-07-04,3853,2645,51176
bradesco,2024-03-12,6879,2024-03-12,76,6803,20870
bradesco,2025-04-20,8704,2025-04-20,9745,-1041,48133
unimed,2024-12-16,1676,2024-12-16,421,1255,24678
unimed,2024-01-27,9452,2024-01-27,3665,5787,77641
bradesco,2025-03-06,9444,2025-03-06,6388,3056,10799
unimed,2024-02-15,7108,2024-02-15,7566,-458,84394
hapvida,2025-04-11,3390,2025-04-11,1362,2028,27148
hapvida,2024-06-18,7547,2024-06-18,4463,3084,2803
hapvida,2024-08-22,9913,2024-08-22,4065,5848,2887
amil,2024-06-03,8023,2024-06-03,8486,-463,78096
bradesco,2025-04-08,4786,2025-04-08,6957,-2171,11233
bradesco,2024-10-09,9721,2024-10-09,1203,8518,31144
amil,2024-06-21,4355,2024-06-21,7311,-2956,25741
amil,2024-01-17,3423,2024-01-17,3785,-362,82344
unimed,2025-03-20,2871,2025-03-20,3389,-518,83534
amil,2024-12-27,7985,2024-12-27,6351,1634,26205
amil,2024-05-17,2791,2024-05-17,2229,562,45743
amil,2025-01-29,7190,2025-01-29,4476,2714,30878
amil,2024-06-18,9987,2024-06-18,7618,2369,75175
amil,2024-02-09,9571,2024-02-09,5230,4341,35641
unimed,2025-02-10,1683,2025-02-10,1587,96,56797
amil,2024-06-07,8341,2024-06-07,5257,3084,53256
amil,2025-01-16,9303,2025-01-16,5441,3862,14779
amil,2024-10-04,1852,2024-10-04,6257,-4405,6983
bradesco,2024-03-31,7484,2024-03-31,4421,3063,47766
bradesco,2024-11-29,9632,2024-11-29,3987,5645,96789
bradesco,2024-03-24,5419,2024-03-24,8008,-2589,44781
unimed,2024-11-04,5448,2024-11-04,7370,-1922,33952
bradesco,2025-01-18,4130,2025-01-18,8240,-4110,54604
hapvida,2024-01-06,768,2024-01-06,744,24,83569
hapvida,2024-12-25,586,2024-12-25,613,-27,56504
bradesco,2024-06-19,4663,2024-06-19,4716,-53,29361
hapvida,2024-10-18,410,2024-10-18,1648,-1238,95741
hapvida,2024-06-27,1448,2024-06-27,7370,-5922,5394
unimed,2025-01-24,1490,2025-01-24,1167,323,58741
unimed,2024-01-31,5702,2024-01-31,6673,-971,43961
bradesco,2024-11-02,5666,2024-11-02,4509,1157,57290
amil,2024-08-02,9039,2024-08-02,2078,6961,95962
hapvida,2024-06-22,7390,2024-06-22,5196,2194,12042
amil,2024-12-08,4804,2024-12-08,4910,-106,71774
amil,2024-01-16,8851,2024-01-16,9478,-627,62473
bradesco,2024-08-03,1218,2024-08-03,2537,-1319,48015
unimed,2024-06-30,1738,2024-06-30,8485,-6747,27360
amil,2024-04-30,5036,2024-04-30,9990,-4954,90678
bradesco,2024-02-17,4502,2024-02-17,2893,1609,51712
amil,2024-10-11,2197,2024-10-11,1784,413,74736
amil,2025-04-15,4248,2025-04-15,2055,2193,22098
hapvida,2024-10-14,5868,2024-10-14,9280,-3412,7245
unimed,2024-08-12,2668,2024-08-12,9201,-6533,85506
unimed,2024-02-14,9005,2024-02-14,5459,3546,23958
amil,2024-02-07,799,2024-02-07,5519,-4720,36094
hapvida,2025-03-31,2158,2025-03-31,3119,-961,88993
amil,2025-02-05,5009,2025-02-05,4112,897,16121
unimed,2024-03-02,7007,2024-03-02,2713,4294,86849
bradesco,2024-02-01,1279,2024-02-01,1599,-320,66473
hapvida,2024-10-29,9623,2024-10-29,386,9237,43516
bradesco,2024-08-14,522,2024-08-14,6225,-5703,53030
amil,2024-04-13,4136,2024-04-13,5584,-1448,55570
amil,2024-06-21,5663,2024-06-21,5157,506,71825
bradesco,2025-02-16,2822,2025-02-16,5420,-2598,56100
amil,2024-06-20,811,2024-06-20,4361,-3550,75896
amil,2024-06-28,1360,2024-06-28,6200,-4840,49173
hapvida,2024-02-09,9616,2024-02-09,5170,4446,82554
hapvida,2024-11-26,9340,2024-11-26,7528,1812,1773
unimed,2024-10-06,1490,2024-10-06,5861,-4371,81128
hapvida,2024-04-11,9382,2024-04-11,3475,5907,94435
hapvida,2024-10-31,7255,2024-10-31,4846,2409,44003
unimed,2024-08-18,3508,2024-08-18,1205,2303,48456
hapvida,2024-05-28,9802,2024-05-28,5748,4054,84889
bradesco,2024-12-08,4816,2024-12-08,1299,3517,92480
unimed,2024-07-07,3828,2024-07-07,4975,-1147,15429
bradesco,2024-03-27,1299,2024-03-27,4410,-3111,97427
amil,2025-04-13,5017,2025-04-13,1730,3287,10007
hapvida,2024-05-02,7078,2024-05-02,9161,-2083,42458
bradesco,2024-04-25,592,2024-04-25,6718,-6126,97249
amil,2024-10-26,8727,2024-10-26,4368,4359,94776
hapvida,2024-07-11,1072,2024-07-11,4027,-2955,32985
amil,2024-12-20,8681,2024-12-20,5891,2790,56483
hapvida,2024-03-08,5908,2024-03-08,8762,-2854,47473
bradesco,2024-04-03,6639,2024-04-03,684,5955,30276
amil,2024-06-20,8920,2024-06-20,2934,5986,70316
bradesco,2024-03-30,4081,2024-03-30,1297,2784,71002
amil,2024-12-21,2599,2024-12-21,9882,-7283,32941
amil,2024-02-17,3668,2024-02-17,1500,2168,66634
bradesco,2024-08-21,830,2024-08-21,1737,-907,58424
amil,2024-05-21,2542,2024-05-21,7474,-4932,21149
unimed,2024-06-30,7198,2024-06-30,4467,2731,16411
hapvida,2024-12-03,1032,2024-12-03,9782,-8750,52844
unimed,2024-12-06,6229,2024-12-06,6090,139,89541
hapvida,2025-01-23,9716,2025-01-23,8008,1708,67372
hapvida,2024-01-05,2404,2024-01-05,7509,-5105,75758
unimed,2024-11-08,752,2024-11-08,1150,-398,96431
bradesco,2024-10-07,7521,2024-10-07,5881,1640,74662
unimed,2024-12-25,539,2024-12-25,2587,-2048,42133
unimed,2025-01-28,7860,2025-01-28,1426,6434,34001
unimed,2024-02-25,9677,2024-02-25,6577,3100,82131
unimed,2024-01-13,4285,2024-01-13,2571,1714,66724
hapvida,2024-06-11,1795,2024-06-11,64,1731,93202
hapvida,2024-06-29,712,2024-06-29,4585,-3873,81209
hapvida,2024-07-29,1827,2024-07-29,6066,-4239,74555
unimed,2025-03-04,418,2025-03-04,814,-396,75879
bradesco,2024-02-23,5886,2024-02-23,2366,3520,51032
hapvida,2024-02-04,9941,2024-02-04,5107,4834,42160
unimed,2024-08-30,4940,2024-08-30,1807,3133,48927
amil,2024-09-01,1839,2024-09-01,5329,-3490,57193
bradesco,2024-10-15,2925,2024-10-15,8516,-5591,78964
amil,2024-02-18,8641,2024-02-18,7942,699,27489
hapvida,2024-08-27,5967,2024-08-27,1907,4060,95348
unimed,2025-03-08,1261,2025-03-08,7763,-6502,9540
hapvida,2024-10-30,1467,2024-10-30,1245,222,96658
unimed,2024-06-14,345,2024-06-14,6895,-6550,20016
amil,2024-11-12,6990,2024-11-12,8267,-1277,46047
